build	date	time	subject	group	blockcode	blocknum	trialcode	trialnum	stimulusitem1	stimulusitem2	values.pointsthisturn	values.newtotalscore	response	latency	values.leftoption	values.rightoption	values.leftpic	values.rightpic	values.selecteddirn	values.selectedoption	values.turnnum	values.choicert	values.largegainpic_category	values.smallgainpic_category	values.smalllosspic_category	values.largelosspic_category	values.largegainpic	values.smallgainpic	values.smalllosspic	values.largelosspic	values.risky1pic	values.risky2pic	values.safe1pic	values.safe2pic
5.0.9.0	100117	22:29:32	1	1	initial_instructions	1	instructions_main	1	images/slide01.jpg	0	0	0	57	737	NA	NA	NA	NA	NA	NA	0	NA	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	initial_instructions	1	instructions_main	2	images/slide02.jpg	0	0	0	57	397	NA	NA	NA	NA	NA	NA	0	NA	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	initial_instructions	1	instructions_main	3	images/slide03.jpg	0	0	0	57	426	NA	NA	NA	NA	NA	NA	0	NA	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	initial_instructions	1	instructions_main	4	images/slide06.jpg	0	0	0	57	375	NA	NA	NA	NA	NA	NA	0	NA	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	initial_instructions	1	instructions_main	5	images/slide07.jpg	0	0	0	57	302	NA	NA	NA	NA	NA	NA	0	NA	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	initial_instructions	1	instructions_dists	6	Each machine can give you any of the 4 types of stamps. However, the red machines are more likely to give you stamps that let you gain MANY points (tools, +10 points) but also stamps where you lose MANY points (faces, -9 points).    On the other hand, the blue machines are more likely to give you stamps where you gain LESS points (animals, +2 points) but also stamps where you lose LESS points (places, -1 points).  To remind you of this while playing, you will see numbers above each machine. The numbers in BOLD tell you the amount of points that machine is more likely to give you...             Press Spacebar to continue	images/group-redRisky-blueSafe.jpg	0	0	57	271	NA	NA	NA	NA	NA	NA	0	NA	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	initial_instructions	1	instructions_dists	7	Note that, over the long run all the machines will give you the SAME amount of points. The only difference is in which types of stamps are more likely, ones that give you large gains and losses, vs smaller gains and losses.                    Press Spacebar to continue	images/group-redRisky-blueSafe.jpg	0	0	57	281	NA	NA	NA	NA	NA	NA	0	NA	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	initial_instructions	1	instructionslides_selectright	8	images/slide09.jpg	0	0	0	36	2980	NA	NA	NA	NA	NA	NA	0	NA	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	initial_instructions	1	instructionslides_selectleft	9	images/slide10.jpg	0	0	0	33	1268	NA	NA	NA	NA	NA	NA	0	NA	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	initial_instructions	1	instructionSlidesLastSection	10	images/slide14.jpg	0	0	0	57	759	NA	NA	NA	NA	NA	NA	0	NA	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
