"build","date","time","subject","group","blockcode","blocknum","trialcode","trialnum","stimulusitem1","stimulusitem2","values.pointsthisturn","values.newtotalscore","response","latency","values.leftoption","values.rightoption","values.leftpic","values.rightpic","values.selecteddirn","values.selectedoption","values.turnnum","values.choicert","values.largegainpic_category","values.smallgainpic_category","values.smalllosspic_category","values.largelosspic_category","values.largegainpic","values.smallgainpic","values.smalllosspic","values.largelosspic","values.risky1pic","values.risky2pic","values.safe1pic","values.safe2pic"
"5.0.10.0","110917","16:58:12","5015","26","initial_instructions","1","instructions_main","1","slide01.jpg","0","0","0","57","5450","NA","NA","NA","NA","NA","NA","0","NA","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","initial_instructions","1","instructions_main","2","slide02.jpg","0","0","0","57","11593","NA","NA","NA","NA","NA","NA","0","NA","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","initial_instructions","1","instructions_main","3","slide03.jpg","0","0","0","57","13308","NA","NA","NA","NA","NA","NA","0","NA","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","initial_instructions","1","instructions_main","4","slide06.jpg","0","0","0","57","15283","NA","NA","NA","NA","NA","NA","0","NA","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","initial_instructions","1","instructions_main","5","slide07.jpg","0","0","0","57","15083","NA","NA","NA","NA","NA","NA","0","NA","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","initial_instructions","1","instructions_dists","6","Each machine can give you ANY OF THE 4 STAMPS with their corresponding points. However, the blue machines are MORE LIKLEY to give you stamps that let you GAIN MANY points (faces, +10 points) but may also give you stamps where you LOSE MANY points (places, -9 points).    On the other hand, the red machines are MORE LIKELY to give you stamps where you GAIN LESS points (tools, +2 points) but also stamps where you LOSE LESS points (animals, -1 points).  To remind you of this while playing, you will see numbers above each machine. The numbers in BOLD tell you the amount of points that machine is MORE LIKELY to give you...             Press Spacebar to continue","group-redSafe-blueRisky.jpg","0","0","57","21559","NA","NA","NA","NA","NA","NA","0","NA","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","initial_instructions","1","instructions_dists","7","Note that, over the long run all of the machines will give you the SAME amount of points. The only difference is in which types of stamps are more likely to appear, ones that give you large gains and losses, vs smaller gains and losses. Don't forget that each machine can give you ALL 4 types of stamps!                     Press Spacebar to continue","group-redSafe-blueRisky.jpg","0","0","57","8438","NA","NA","NA","NA","NA","NA","0","NA","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","initial_instructions","1","instructionslides_selectright","8","slide09.jpg","0","0","0","36","25853","NA","NA","NA","NA","NA","NA","0","NA","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","initial_instructions","1","instructionslides_selectleft","9","slide10.jpg","0","0","0","33","4355","NA","NA","NA","NA","NA","NA","0","NA","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"5.0.10.0","110917","16:58:12","5015","26","initial_instructions","1","instructionSlidesLastSection","10","slide14.jpg","0","0","0","57","14228","NA","NA","NA","NA","NA","NA","0","NA","faces","tools","animals","places","<%values.imagespath%>face-03.jpg","<%values.imagespath%>hammer.jpg","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
