"script.startdate","script.starttime","script.subjectid","script.groupid","values.newtotalscore","values.bonusPayment","values.complete","values.largegainpic_category","values.largegainpic","values.smallgainpic_category","values.smallgainpic","values.smallgainpic_category","values.smalllosspic","values.largelosspic_category","values.largelosspic","values.risky1pic","values.risky2pic","values.safe1pic","values.safe2pic"
"110917","16:58:12","5015","26","52","78","1","faces","<%values.imagespath%>face-03.jpg","tools","<%values.imagespath%>hammer.jpg","tools","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","places","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"110917","16:40:16","5014","25","52","78","1","faces","<%values.imagespath%>face-03.jpg","places","<%values.imagespath%>house.jpg","places","<%values.imagespath%>hammer.jpg","animals","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"110917","13:16:18","5013","24","22","33","1","faces","<%values.imagespath%>face-03.jpg","places","<%values.imagespath%>house.jpg","places","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","tools","<%values.imagespath%>hammer.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"110917","15:19:31","5012","23","44","66","1","faces","<%values.imagespath%>face-03.jpg","places","<%values.imagespath%>house.jpg","places","<%values.imagespath%>hammer.jpg","animals","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>dark-red-rectangle-risky.jpg","<%values.imagespath%>light-red-triangle-risky.jpg","<%values.imagespath%>dark-blue-circle-safe.jpg","<%values.imagespath%>light-blue-star-safe.jpg"
"110917","12:10:50","5011","22","44","66","1","tools","<%values.imagespath%>hammer.jpg","places","<%values.imagespath%>house.jpg","places","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","faces","<%values.imagespath%>face-03.jpg","<%values.imagespath%>dark-red-rectangle-risky.jpg","<%values.imagespath%>light-red-triangle-risky.jpg","<%values.imagespath%>dark-blue-circle-safe.jpg","<%values.imagespath%>light-blue-star-safe.jpg"
"110617","13:56:20","5009test","19","11","0","0","animals","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","faces","<%values.imagespath%>face-03.jpg","faces","<%values.imagespath%>house.jpg","tools","<%values.imagespath%>hammer.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"110617","20:36:41","5008","18","55","82.5","1","places","<%values.imagespath%>house.jpg","tools","<%values.imagespath%>hammer.jpg","tools","<%values.imagespath%>face-03.jpg","animals","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","<%values.imagespath%>dark-red-rectangle-risky.jpg","<%values.imagespath%>light-red-triangle-risky.jpg","<%values.imagespath%>dark-blue-circle-safe.jpg","<%values.imagespath%>light-blue-star-safe.jpg"
"110317","11:07:29","5007","17","44","66","1","animals","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","tools","<%values.imagespath%>hammer.jpg","tools","<%values.imagespath%>face-03.jpg","places","<%values.imagespath%>house.jpg","<%values.imagespath%>dark-red-rectangle-risky.jpg","<%values.imagespath%>light-red-triangle-risky.jpg","<%values.imagespath%>dark-blue-circle-safe.jpg","<%values.imagespath%>light-blue-star-safe.jpg"
"110317","07:29:10","5006","16","47","70.5","1","places","<%values.imagespath%>house.jpg","tools","<%values.imagespath%>hammer.jpg","tools","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","faces","<%values.imagespath%>face-03.jpg","<%values.imagespath%>dark-blue-circle-risky.jpg","<%values.imagespath%>light-blue-star-risky.jpg","<%values.imagespath%>dark-red-rectangle-safe.jpg","<%values.imagespath%>light-red-triangle-safe.jpg"
"110217","12:06:22","5005","15","41","61.5","1","tools","<%values.imagespath%>hammer.jpg","places","<%values.imagespath%>house.jpg","places","<%values.imagespath%>animal-silhouette-dog2nohead.jpg","faces","<%values.imagespath%>face-03.jpg","<%values.imagespath%>dark-red-rectangle-risky.jpg","<%values.imagespath%>light-red-triangle-risky.jpg","<%values.imagespath%>dark-blue-circle-safe.jpg","<%values.imagespath%>light-blue-star-safe.jpg"
